*Data source: Baseball Reference (FanGraphs was unavailable).*

Showing 200 of 463 total rows.

| Name                         |   Age |   #days | Lev           | Tm                     |   G |   PA |   AB |   R |   H |   2B |   3B |   HR |   RBI |   BB |   IBB |   SO |   HBP |   SH |   SF |   GDP |   SB |   CS |    BA |   OBP |   SLG |   OPS |   mlbID |
| Lane Thomas                  |    27 |     924 | Maj-NL        | Washington             | 156 |  682 |  628 | 101 | 168 |   36 |    3 |   28 |    86 |   36 |     0 |  176 |    11 |    0 |    7 |     5 |   20 |    5 | 0.268 | 0.315 | 0.468 | 0.783 |  657041 |
| TJ Friedl                    |    27 |     925 | Maj-NL        | Cincinnati             | 138 |  556 |  488 |  73 | 136 |   22 |    8 |   18 |    66 |   47 |     1 |   90 |    10 |    8 |    3 |     0 |   27 |    6 | 0.279 | 0.352 | 0.467 | 0.819 |  670770 |
| Willson Contreras            |    31 |     935 | Maj-NL        | St. Louis              | 125 |  495 |  428 |  55 | 113 |   27 |    0 |   20 |    67 |   51 |     0 |  111 |    13 |    1 |    2 |    12 |    6 |    3 | 0.264 | 0.358 | 0.467 | 0.826 |  575929 |
| Ryan Jeffers                 |    26 |     914 | Maj-AL        | Minnesota              | 102 |  358 |  305 |  47 |  81 |   15 |    2 |   14 |    43 |   35 |     1 |  101 |    12 |    4 |    2 |     7 |    3 |    2 | 0.266 | 0.362 | 0.466 | 0.827 |  680777 |
| Brandon Nimmo                |    30 |     927 | Maj-NL        | New York               | 152 |  682 |  592 |  89 | 162 |   30 |    6 |   24 |    68 |   74 |     0 |  146 |    11 |    1 |    4 |     6 |    3 |    3 | 0.274 | 0.363 | 0.466 | 0.829 |  607043 |
| Edouard Julien               |    24 |     914 | Maj-AL        | Minnesota              | 114 |  430 |  355 |  62 |  94 |   18 |    1 |   17 |    39 |   69 |     0 |  136 |     2 |    1 |    3 |     8 |    3 |    0 | 0.265 | 0.385 | 0.465 | 0.849 |  666397 |
| Michael Harris II            |    22 |     913 | Maj-NL        | Atlanta                | 142 |  552 |  518 |  76 | 148 |   33 |    3 |   18 |    57 |   25 |     1 |  104 |     5 |    1 |    3 |     8 |   20 |    4 | 0.286 | 0.323 | 0.465 | 0.788 |  671739 |
| Marcus Semien                |    32 |     893 | Maj-AL        | Texas                  | 179 |  835 |  746 | 134 | 202 |   42 |    5 |   31 |   110 |   78 |     1 |  122 |     5 |    0 |    5 |     6 |   14 |    3 | 0.271 | 0.342 | 0.465 | 0.807 |  543760 |
| Spencer Steer                |    25 |     925 | Maj-NL        | Cincinnati             | 156 |  665 |  582 |  74 | 158 |   37 |    3 |   23 |    86 |   68 |     0 |  139 |    11 |    0 |    4 |     9 |   15 |    3 | 0.271 | 0.356 | 0.464 | 0.82  |  668715 |
| Brandon Marsh                |    25 |     901 | Maj-NL        | Philadelphia           | 145 |  514 |  442 |  60 | 125 |   29 |    6 |   13 |    64 |   63 |     2 |  159 |     4 |    1 |    4 |     5 |   12 |    2 | 0.283 | 0.374 | 0.464 | 0.838 |  669016 |
| Luis Arraez                  |    26 |     921 | Maj-NL        | Miami                  | 149 |  625 |  582 |  71 | 204 |   30 |    3 |   10 |    69 |   35 |    10 |   34 |     4 |    1 |    3 |    18 |    3 |    2 | 0.351 | 0.389 | 0.464 | 0.853 |  650333 |
